overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
0.0,0.0,0.0,0.0,11.42,1.0,961.8463014849308,1543448012.867066
0.0,0.0,0.0,1.0,9.69,1.0,999.888643443546,1543448012.867066
0.0,0.0,0.0,2.0,8.25,1.0,999.8773149899895,1543448012.867066
0.0,0.0,0.0,3.0,7.56,1.0,999.8565817995668,1543448012.867066
0.0,0.0,0.0,4.0,6.79,1.0,999.850412557634,1543448012.867066
0.0,0.0,0.0,5.0,5.98,1.0,999.8064717706548,1543448012.867066
0.0,0.0,0.0,6.0,5.72,1.0,999.7865881713009,1543448012.867066
0.0,0.0,0.0,7.0,5.21,1.0,999.7561535341672,1543448012.867066
0.0,0.0,0.0,8.0,4.89,1.0,999.7149151899088,1543448012.867066
0.0,0.0,0.0,9.0,4.7,1.0,999.67303984315,1543448012.867066
0.0,0.0,0.0,10.0,4.44,1.0,999.6420506629761,1543448012.867066
0.0,0.0,0.0,11.0,4.22,1.0,999.587148974478,1543448012.867066
0.0,0.0,0.0,12.0,4.05,1.0,999.5386962537939,1543448012.867066
0.0,0.0,0.0,13.0,3.88,1.0,999.4932702523668,1543448012.867066
0.0,0.0,0.0,14.0,3.76,1.0,999.426881926283,1543448012.867066
0.0,0.0,0.0,15.0,3.58,1.0,999.342770351807,1543448012.867066
0.0,0.0,0.0,16.0,3.38,1.0,999.2534769211198,1543448012.867066
0.0,0.0,0.0,17.0,3.19,1.0,999.1757720626617,1543448012.867066
0.0,0.0,0.0,18.0,3.24,1.0,999.1652863865079,1543448012.867066
0.0,0.0,0.0,19.0,3.1,1.0,999.0780657977947,1543448012.867066
0.0,1.0,0.0,20.0,4.03,1.0,998.4708756298274,1543448043.5205243
0.0,1.0,0.0,21.0,3.93,1.0,998.4122430320081,1543448043.5205243
0.0,1.0,0.0,22.0,3.92,1.0,998.2941987578992,1543448043.5205243
0.0,1.0,0.0,23.0,3.63,1.0,998.0427909441373,1543448043.5205243
