overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.15,1.0,865.7578019418355,1543364397.4542832
8.000000000000007e-07,0.0,0.0,1.0,9.5,1.0,967.8543120682192,1543364397.4542832
8.000000000000007e-07,0.0,0.0,2.0,8.58,1.0,999.8862601257421,1543364397.4542832
8.000000000000007e-07,0.0,0.0,3.0,7.52,1.0,999.8709397972511,1543364397.4542832
8.000000000000007e-07,0.0,0.0,4.0,6.78,1.0,999.8550483004317,1543364397.4542832
8.000000000000007e-07,0.0,0.0,5.0,6.34,1.0,999.818867476234,1543364397.4542832
8.000000000000007e-07,0.0,0.0,6.0,5.9,1.0,999.8029262193304,1543364397.4542832
8.000000000000007e-07,0.0,0.0,7.0,5.43,1.0,999.782646035958,1543364397.4542832
8.000000000000007e-07,0.0,0.0,8.0,5.22,1.0,999.7451431200539,1543364397.4542832
8.000000000000007e-07,0.0,0.0,9.0,4.99,1.0,999.7228992575663,1543364397.4542832
8.000000000000007e-07,0.0,0.0,10.0,4.6,1.0,999.6533529983158,1543364397.4542832
8.000000000000007e-07,0.0,0.0,11.0,4.34,1.0,999.627859511832,1543364397.4542832
8.000000000000007e-07,0.0,0.0,12.0,4.2,1.0,999.596368488646,1543364397.4542832
8.000000000000007e-07,0.0,0.0,13.0,4.04,1.0,999.5556697953102,1543364397.4542832
8.000000000000007e-07,0.0,0.0,14.0,3.92,1.0,999.5184934015213,1543364397.4542832
8.000000000000007e-07,0.0,0.0,15.0,3.75,1.0,999.4495670367418,1543364397.4542832
8.000000000000007e-07,0.0,0.0,16.0,3.63,1.0,999.3948398661893,1543364397.4542832
8.000000000000007e-07,0.0,0.0,17.0,3.38,1.0,999.3295330434681,1543364397.4542832
8.000000000000007e-07,0.0,0.0,18.0,3.33,1.0,993.2195279375327,1543364397.4542832
8.000000000000007e-07,0.0,0.0,19.0,3.31,1.0,999.2110164605277,1543364397.4542832
