overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.1,1.0,847.7086170669919,1543357782.8064897
8.000000000000007e-07,0.0,0.0,1.0,10.11,1.0,971.840520917693,1543357782.8064897
8.000000000000007e-07,0.0,0.0,2.0,8.77,1.0,977.8475909369225,1543357782.8064897
8.000000000000007e-07,0.0,0.0,3.0,7.52,1.0,999.8738969372566,1543357782.8064897
8.000000000000007e-07,0.0,0.0,4.0,6.82,1.0,999.8566469639889,1543357782.8064897
8.000000000000007e-07,0.0,0.0,5.0,6.43,1.0,999.829039019069,1543357782.8064897
8.000000000000007e-07,0.0,0.0,6.0,5.98,1.0,999.8204846458793,1543357782.8064897
8.000000000000007e-07,0.0,0.0,7.0,5.65,1.0,999.7906439521715,1543357782.8064897
8.000000000000007e-07,0.0,0.0,8.0,5.17,1.0,999.7444009283995,1543357782.8064897
8.000000000000007e-07,0.0,0.0,9.0,4.86,1.0,999.732466112313,1543357782.8064897
8.000000000000007e-07,0.0,0.0,10.0,4.59,1.0,999.6711174464976,1543357782.8064897
8.000000000000007e-07,0.0,0.0,11.0,4.4,1.0,999.6427417050679,1543357782.8064897
8.000000000000007e-07,0.0,0.0,12.0,4.2,1.0,999.5911058312671,1543357782.8064897
8.000000000000007e-07,0.0,0.0,13.0,3.98,1.0,999.5280715370143,1543357782.8064897
8.000000000000007e-07,0.0,0.0,14.0,3.91,1.0,999.4969853163753,1543357782.8064897
8.000000000000007e-07,0.0,0.0,15.0,3.6,1.0,999.381672893907,1543357782.8064897
8.000000000000007e-07,0.0,0.0,16.0,3.63,1.0,999.332940145469,1543357782.8064897
8.000000000000007e-07,0.0,0.0,17.0,3.36,1.0,999.2442370818521,1543357782.8064897
8.000000000000007e-07,0.0,0.0,18.0,3.2,1.0,999.1489695842417,1543357782.8064897
8.000000000000007e-07,0.0,0.0,19.0,3.17,1.0,999.1664976621089,1543357782.8064897
