overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.05,1.0,847.7075772143986,1543432690.6599364
8.000000000000007e-07,0.0,0.0,1.0,9.9,1.0,965.8249415166813,1543432690.6599364
8.000000000000007e-07,0.0,0.0,2.0,8.24,1.0,981.8310844518933,1543432690.6599364
8.000000000000007e-07,0.0,0.0,3.0,7.34,1.0,999.8623396355556,1543432690.6599364
8.000000000000007e-07,0.0,0.0,4.0,6.87,1.0,999.847385094905,1543432690.6599364
8.000000000000007e-07,0.0,0.0,5.0,6.26,1.0,999.8297412732895,1543432690.6599364
8.000000000000007e-07,0.0,0.0,6.0,5.51,1.0,999.8017951515318,1543432690.6599364
8.000000000000007e-07,0.0,0.0,7.0,5.32,1.0,999.7578520262136,1543432690.6599364
8.000000000000007e-07,0.0,0.0,8.0,4.78,1.0,999.7232659003014,1543432690.6599364
8.000000000000007e-07,0.0,0.0,9.0,4.63,1.0,999.6614471126155,1543432690.6599364
8.000000000000007e-07,0.0,0.0,10.0,4.32,1.0,999.6287595877632,1543432690.6599364
8.000000000000007e-07,0.0,0.0,11.0,4.41,1.0,999.6072881077371,1543432690.6599364
8.000000000000007e-07,0.0,0.0,12.0,3.96,1.0,999.5312453581184,1543432690.6599364
8.000000000000007e-07,0.0,0.0,13.0,3.86,1.0,999.4881018680791,1543432690.6599364
8.000000000000007e-07,0.0,0.0,14.0,3.6,1.0,999.4149889108011,1543432690.6599364
8.000000000000007e-07,0.0,0.0,15.0,3.56,1.0,999.3594371228603,1543432690.6599364
8.000000000000007e-07,0.0,0.0,16.0,3.41,1.0,999.2946932358022,1543432690.6599364
8.000000000000007e-07,0.0,0.0,17.0,3.31,1.0,999.218001978405,1543432690.6599364
8.000000000000007e-07,0.0,0.0,18.0,3.28,1.0,999.1400910533304,1543432690.6599364
8.000000000000007e-07,0.0,0.0,19.0,3.1,1.0,999.127258022625,1543432690.6599364
8.000000000000007e-07,1.0,0.0,20.0,6.6,1.0,-460.49238094454626,1543432968.1450016
8.000000000000007e-07,1.0,0.0,21.0,6.61,1.0,-480.5096015441584,1543432968.1450016
8.000000000000007e-07,1.0,0.0,22.0,6.65,1.0,-332.4003450778827,1543432968.1450016
8.000000000000007e-07,1.0,0.0,23.0,6.55,1.0,-370.38063481486665,1543432968.1450016
8.000000000000007e-07,1.0,0.0,24.0,6.31,1.0,-208.44779041964455,1543432968.1450016
8.000000000000007e-07,1.0,0.0,25.0,6.51,1.0,-82.28172510307591,1543432968.1450016
8.000000000000007e-07,1.0,0.0,26.0,6.51,1.0,191.94120902673563,1543432968.1450016
8.000000000000007e-07,1.0,0.0,27.0,6.42,1.0,235.95339030939675,1543432968.1450016
8.000000000000007e-07,1.0,0.0,28.0,6.37,1.0,510.269725394964,1543432968.1450016
8.000000000000007e-07,1.0,0.0,29.0,6.28,1.0,714.519897039726,1543432968.1450016
8.000000000000007e-07,1.0,0.0,30.0,6.15,1.0,800.6905575709959,1543432968.1450016
8.000000000000007e-07,1.0,0.0,31.0,6.14,1.0,818.7553023948132,1543432968.1450016
8.000000000000007e-07,1.0,0.0,32.0,5.91,1.0,945.0445996645562,1543432968.1450016
8.000000000000007e-07,1.0,0.0,33.0,5.89,1.0,975.1238864644095,1543432968.1450016
8.000000000000007e-07,1.0,0.0,34.0,5.83,1.0,981.1657527571754,1543432968.1450016
8.000000000000007e-07,1.0,0.0,35.0,5.49,1.0,981.100124312573,1543432968.1450016
8.000000000000007e-07,1.0,0.0,36.0,5.38,1.0,999.17215378703,1543432968.1450016
8.000000000000007e-07,1.0,0.0,37.0,5.21,1.0,999.0964992163604,1543432968.1450016
8.000000000000007e-07,1.0,0.0,38.0,5.09,1.0,993.0285920480062,1543432968.1450016
8.000000000000007e-07,1.0,0.0,39.0,5.0,1.0,999.0645121253879,1543432968.1450016
