overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.58,1.0,789.6719935516205,1543361548.3898568
8.000000000000007e-07,0.0,0.0,1.0,10.06,1.0,933.7955822592484,1543361548.3898568
8.000000000000007e-07,0.0,0.0,2.0,8.47,1.0,993.8673163196343,1543361548.3898568
8.000000000000007e-07,0.0,0.0,3.0,7.54,1.0,999.8778933412134,1543361548.3898568
8.000000000000007e-07,0.0,0.0,4.0,6.82,1.0,999.8586277635409,1543361548.3898568
8.000000000000007e-07,0.0,0.0,5.0,6.0,1.0,999.8218353798131,1543361548.3898568
8.000000000000007e-07,0.0,0.0,6.0,5.78,1.0,999.813404672826,1543361548.3898568
8.000000000000007e-07,0.0,0.0,7.0,5.42,1.0,999.7834010666784,1543361548.3898568
8.000000000000007e-07,0.0,0.0,8.0,5.04,1.0,999.7496218170676,1543361548.3898568
8.000000000000007e-07,0.0,0.0,9.0,4.81,1.0,999.7025812570805,1543361548.3898568
8.000000000000007e-07,0.0,0.0,10.0,4.48,1.0,999.6604869561999,1543361548.3898568
8.000000000000007e-07,0.0,0.0,11.0,4.32,1.0,999.6154148666495,1543361548.3898568
8.000000000000007e-07,0.0,0.0,12.0,4.11,1.0,999.5841110258151,1543361548.3898568
8.000000000000007e-07,0.0,0.0,13.0,4.16,1.0,999.5776291637204,1543361548.3898568
8.000000000000007e-07,0.0,0.0,14.0,3.81,1.0,999.4867822810706,1543361548.3898568
8.000000000000007e-07,0.0,0.0,15.0,3.61,1.0,999.4241964617295,1543361548.3898568
8.000000000000007e-07,0.0,0.0,16.0,3.54,1.0,999.3527297157813,1543361548.3898568
8.000000000000007e-07,0.0,0.0,17.0,3.47,1.0,999.315417444001,1543361548.3898568
8.000000000000007e-07,0.0,0.0,18.0,3.23,1.0,999.2312764651246,1543361548.3898568
8.000000000000007e-07,0.0,0.0,19.0,3.24,1.0,999.2023015250021,1543361548.3898568
8.000000000000007e-07,1.0,0.0,20.0,6.66,1.0,-552.458953253526,1543361709.6985228
8.000000000000007e-07,1.0,0.0,21.0,6.44,1.0,-572.540830171634,1543361709.6985228
8.000000000000007e-07,1.0,0.0,22.0,6.37,1.0,-510.50298841588284,1543361709.6985228
8.000000000000007e-07,1.0,0.0,23.0,6.53,1.0,-394.42732130819235,1543361709.6985228
8.000000000000007e-07,1.0,0.0,24.0,6.38,1.0,-258.341246650137,1543361709.6985228
8.000000000000007e-07,1.0,0.0,25.0,6.35,1.0,-142.26408184090562,1543361709.6985228
8.000000000000007e-07,1.0,0.0,26.0,6.41,1.0,85.9454553074813,1543361709.6985228
