overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.07,1.0,827.7172732901839,1543433338.269273
8.000000000000007e-07,0.0,0.0,1.0,9.94,1.0,977.8587770502647,1543433338.269273
8.000000000000007e-07,0.0,0.0,2.0,8.68,1.0,983.8712173939598,1543433338.269273
8.000000000000007e-07,0.0,0.0,3.0,7.53,1.0,999.8715230096132,1543433338.269273
8.000000000000007e-07,0.0,0.0,4.0,7.17,1.0,999.8592180869065,1543433338.269273
8.000000000000007e-07,0.0,0.0,5.0,6.45,1.0,999.8274040771155,1543433338.269273
8.000000000000007e-07,0.0,0.0,6.0,5.82,1.0,999.8070704758617,1543433338.269273
8.000000000000007e-07,0.0,0.0,7.0,5.53,1.0,999.7766249937345,1543433338.269273
8.000000000000007e-07,0.0,0.0,8.0,5.11,1.0,999.7434262814844,1543433338.269273
8.000000000000007e-07,0.0,0.0,9.0,4.7,1.0,999.6988071544106,1543433338.269273
8.000000000000007e-07,0.0,0.0,10.0,4.58,1.0,999.663709143881,1543433338.269273
8.000000000000007e-07,0.0,0.0,11.0,4.26,1.0,999.612115873751,1543433338.269273
8.000000000000007e-07,0.0,0.0,12.0,4.07,1.0,999.5657113106271,1543433338.269273
8.000000000000007e-07,0.0,0.0,13.0,3.95,1.0,999.4872066157166,1543433338.269273
8.000000000000007e-07,0.0,0.0,14.0,3.85,1.0,999.4674158617423,1543433338.269273
8.000000000000007e-07,0.0,0.0,15.0,3.59,1.0,999.364228879562,1543433338.269273
8.000000000000007e-07,0.0,0.0,16.0,3.49,1.0,999.2969432942014,1543433338.269273
8.000000000000007e-07,0.0,0.0,17.0,3.27,1.0,999.1830340604043,1543433338.269273
8.000000000000007e-07,0.0,0.0,18.0,3.28,1.0,999.1265971502722,1543433338.269273
8.000000000000007e-07,0.0,0.0,19.0,3.08,1.0,999.0689486323913,1543433338.269273
8.000000000000007e-07,1.0,0.0,20.0,5.9,0.0,-602.8609148475732,1543433494.9515958
8.000000000000007e-07,1.0,0.0,21.0,5.98,0.0,-602.8011224482661,1543433494.9515958
8.000000000000007e-07,1.0,0.0,22.0,5.96,0.0,-592.8176155001457,1543433494.9515958
8.000000000000007e-07,1.0,0.0,23.0,5.94,0.0,-582.8172756592959,1543433494.9515958
8.000000000000007e-07,1.0,0.0,24.0,5.88,0.0,-540.7951767173611,1543433494.9515958
8.000000000000007e-07,1.0,0.0,25.0,5.89,0.0,-512.8300001062396,1543433494.9515958
8.000000000000007e-07,1.0,0.0,26.0,5.94,0.0,-496.7660667646895,1543433494.9515958
8.000000000000007e-07,1.0,0.0,27.0,5.93,0.0,-424.74291875885064,1543433494.9515958
8.000000000000007e-07,1.0,0.0,28.0,5.97,0.0,-330.7468337546218,1543433494.9515958
8.000000000000007e-07,1.0,0.0,29.0,5.9,0.0,-216.68636493681277,1543433494.9515958
8.000000000000007e-07,1.0,0.0,30.0,5.78,0.0,-2.695152065929634,1543433494.9515958
8.000000000000007e-07,1.0,0.0,31.0,5.91,0.0,97.37635668398005,1543433494.9515958
8.000000000000007e-07,1.0,0.0,32.0,5.68,0.0,383.77490636558537,1543433494.9515958
8.000000000000007e-07,1.0,0.0,33.0,5.56,0.0,555.891706531792,1543433494.9515958
8.000000000000007e-07,1.0,0.0,34.0,5.47,0.0,692.1336195208033,1543433494.9515958
8.000000000000007e-07,1.0,0.0,35.0,5.36,0.0,844.4774325928248,1543433494.9515958
8.000000000000007e-07,1.0,0.0,36.0,5.15,0.0,916.6259780069252,1543433494.9515958
8.000000000000007e-07,1.0,0.0,37.0,5.09,0.0,914.6076141628456,1543433494.9515958
8.000000000000007e-07,1.0,0.0,38.0,4.93,0.0,998.8428891988534,1543433494.9515958
8.000000000000007e-07,1.0,0.0,39.0,4.95,0.0,992.823391539662,1543433494.9515958
1.5999999999999995e-06,2.0,0.0,40.0,4.37,1.0,998.713174123879,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,41.0,4.21,1.0,998.5990581659266,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,42.0,4.18,1.0,998.5046863824931,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,43.0,4.15,1.0,998.5611929434647,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,44.0,4.19,1.0,998.5879642174001,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,45.0,4.08,1.0,998.4663864686074,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,46.0,4.03,1.0,998.4489338563875,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,47.0,4.05,1.0,998.3783470396712,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,48.0,4.01,1.0,998.3525539934008,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,49.0,4.0,1.0,998.3761831662532,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,50.0,4.02,1.0,998.2916340370925,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,51.0,3.94,1.0,998.1921838973715,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,52.0,3.95,1.0,998.2443539120646,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,53.0,3.9,1.0,998.1084578578673,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,54.0,3.91,1.0,998.1551678105882,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,55.0,3.74,1.0,998.0158793843591,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,56.0,3.7,1.0,997.9215391949223,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,57.0,3.6,1.0,997.8333741771759,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,58.0,3.48,1.0,997.7113672753334,1543433658.6190052
1.5999999999999995e-06,2.0,0.0,59.0,3.42,1.0,997.6395257666279,1543433658.6190052
2.4000000000000007e-06,3.0,0.0,60.0,4.02,1.0,997.0483830437519,1543433840.5608172
2.4000000000000007e-06,3.0,0.0,61.0,4.0,1.0,997.0248461429812,1543433840.5608172
2.4000000000000007e-06,3.0,0.0,62.0,4.04,1.0,997.0343983017681,1543433840.5608172
2.4000000000000007e-06,3.0,0.0,63.0,4.03,1.0,997.0475529320155,1543433840.5608172
