overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,10.61,1.0,879.7415567804525,1543431912.8632648
8.000000000000007e-07,0.0,0.0,1.0,9.93,1.0,949.8161482146678,1543431912.8632648
8.000000000000007e-07,0.0,0.0,2.0,8.95,1.0,961.8432617896832,1543431912.8632648
8.000000000000007e-07,0.0,0.0,3.0,7.78,1.0,999.8732594877271,1543431912.8632648
8.000000000000007e-07,0.0,0.0,4.0,6.95,1.0,999.8501357323647,1543431912.8632648
8.000000000000007e-07,0.0,0.0,5.0,6.08,1.0,999.828494249005,1543431912.8632648
8.000000000000007e-07,0.0,0.0,6.0,5.82,1.0,999.8107547469237,1543431912.8632648
8.000000000000007e-07,0.0,0.0,7.0,5.33,1.0,999.7802128253252,1543431912.8632648
8.000000000000007e-07,0.0,0.0,8.0,4.95,1.0,999.7390748116642,1543431912.8632648
8.000000000000007e-07,0.0,0.0,9.0,4.77,1.0,999.7117583515035,1543431912.8632648
8.000000000000007e-07,0.0,0.0,10.0,4.52,1.0,999.6812193713668,1543431912.8632648
8.000000000000007e-07,0.0,0.0,11.0,4.2,1.0,999.6046586894279,1543431912.8632648
8.000000000000007e-07,0.0,0.0,12.0,4.12,1.0,999.6001907882434,1543431912.8632648
8.000000000000007e-07,0.0,0.0,13.0,3.84,1.0,999.5061548031601,1543431912.8632648
8.000000000000007e-07,0.0,0.0,14.0,3.85,1.0,999.4630710396093,1543431912.8632648
8.000000000000007e-07,0.0,0.0,15.0,3.56,1.0,999.345105412736,1543431912.8632648
8.000000000000007e-07,0.0,0.0,16.0,3.47,1.0,999.3132079376053,1543431912.8632648
8.000000000000007e-07,0.0,0.0,17.0,3.43,1.0,999.2636922060777,1543431912.8632648
8.000000000000007e-07,0.0,0.0,18.0,3.26,1.0,999.2068355940739,1543431912.8632648
8.000000000000007e-07,0.0,0.0,19.0,3.18,1.0,999.0945932884371,1543431912.8632648
8.000000000000007e-07,1.0,0.0,20.0,6.17,1.0,-582.6521233801647,1543432074.0790238
8.000000000000007e-07,1.0,0.0,21.0,6.15,1.0,-556.630268442506,1543432074.0790238
8.000000000000007e-07,1.0,0.0,22.0,6.1,1.0,-526.665007845174,1543432074.0790238
8.000000000000007e-07,1.0,0.0,23.0,5.96,1.0,-442.6713157240303,1543432074.0790238
8.000000000000007e-07,1.0,0.0,24.0,5.97,1.0,-346.6421992355055,1543432074.0790238
8.000000000000007e-07,1.0,0.0,25.0,5.93,1.0,-338.6628490047507,1543432074.0790238
8.000000000000007e-07,1.0,0.0,26.0,5.94,1.0,-8.405894478071001,1543432074.0790238
8.000000000000007e-07,1.0,0.0,27.0,5.93,1.0,219.78657348591307,1543432074.0790238
8.000000000000007e-07,1.0,0.0,28.0,5.7,1.0,403.9564481395702,1543432074.0790238
8.000000000000007e-07,1.0,0.0,29.0,5.5,1.0,728.5045287485096,1543432074.0790238
8.000000000000007e-07,1.0,0.0,30.0,5.45,1.0,816.6450349338703,1543432074.0790238
8.000000000000007e-07,1.0,0.0,31.0,5.3,1.0,944.8612970527438,1543432074.0790238
8.000000000000007e-07,1.0,0.0,32.0,5.07,1.0,968.8557878421789,1543432074.0790238
8.000000000000007e-07,1.0,0.0,33.0,4.84,1.0,998.9609782171487,1543432074.0790238
8.000000000000007e-07,1.0,0.0,34.0,4.72,1.0,998.9278005457172,1543432074.0790238
8.000000000000007e-07,1.0,0.0,35.0,4.55,1.0,998.9216869266171,1543432074.0790238
8.000000000000007e-07,1.0,0.0,36.0,4.4,1.0,998.8956228370023,1543432074.0790238
8.000000000000007e-07,1.0,0.0,37.0,4.18,1.0,998.8429863183251,1543432074.0790238
8.000000000000007e-07,1.0,0.0,38.0,4.11,1.0,998.7654470238136,1543432074.0790238
8.000000000000007e-07,1.0,0.0,39.0,4.09,1.0,998.7628139997416,1543432074.0790238
8.000000000000007e-07,2.0,0.0,40.0,3.96,1.0,998.7410947079628,1543432237.361671
8.000000000000007e-07,2.0,0.0,41.0,3.85,1.0,998.6670005896544,1543432237.361671
8.000000000000007e-07,2.0,0.0,42.0,3.87,1.0,998.6470794855697,1543432237.361671
8.000000000000007e-07,2.0,0.0,43.0,3.76,1.0,998.5789843021303,1543432237.361671
8.000000000000007e-07,2.0,0.0,44.0,3.6,1.0,998.5762845239432,1543432237.361671
8.000000000000007e-07,2.0,0.0,45.0,3.42,1.0,998.507161937609,1543432237.361671
8.000000000000007e-07,2.0,0.0,46.0,3.37,1.0,998.5040272421202,1543432237.361671
8.000000000000007e-07,2.0,0.0,47.0,3.24,1.0,998.4059430626778,1543432237.361671
8.000000000000007e-07,2.0,0.0,48.0,3.21,1.0,998.3454825498859,1543432237.361671
8.000000000000007e-07,2.0,0.0,49.0,3.11,1.0,998.2849281880043,1543432237.361671
8.000000000000007e-07,2.0,0.0,50.0,3.12,1.0,998.2074959199651,1543432237.361671
8.000000000000007e-07,2.0,0.0,51.0,3.06,1.0,998.1862613798331,1543432237.361671
8.000000000000007e-07,2.0,0.0,52.0,3.06,1.0,998.1603865905241,1543432237.361671
