overall_area,overall_iter,overall_perf,ppo_iter,ppo_lens,ppo_perf,ppo_rews,timestamp
,,,,,,,
8.000000000000007e-07,0.0,0.0,0.0,11.14,1.0,833.7207604934493,1543358800.390445
8.000000000000007e-07,0.0,0.0,1.0,9.5,1.0,955.8238091045117,1543358800.390445
8.000000000000007e-07,0.0,0.0,2.0,8.6,1.0,983.857049680896,1543358800.390445
8.000000000000007e-07,0.0,0.0,3.0,7.92,1.0,999.8761205631824,1543358800.390445
8.000000000000007e-07,0.0,0.0,4.0,7.07,1.0,999.8521638491501,1543358800.390445
8.000000000000007e-07,0.0,0.0,5.0,6.09,1.0,999.8157656760227,1543358800.390445
8.000000000000007e-07,0.0,0.0,6.0,5.89,1.0,999.8055508849462,1543358800.390445
8.000000000000007e-07,0.0,0.0,7.0,5.4,1.0,999.7688276012939,1543358800.390445
8.000000000000007e-07,0.0,0.0,8.0,5.05,1.0,999.7261382996309,1543358800.390445
8.000000000000007e-07,0.0,0.0,9.0,4.9,1.0,999.6956835398989,1543358800.390445
8.000000000000007e-07,0.0,0.0,10.0,4.55,1.0,999.6540297670191,1543358800.390445
8.000000000000007e-07,0.0,0.0,11.0,4.12,1.0,999.568040705972,1543358800.390445
8.000000000000007e-07,0.0,0.0,12.0,3.93,1.0,999.516955690096,1543358800.390445
8.000000000000007e-07,0.0,0.0,13.0,3.87,1.0,999.4680075235436,1543358800.390445
8.000000000000007e-07,0.0,0.0,14.0,3.55,1.0,999.3633795792653,1543358800.390445
8.000000000000007e-07,0.0,0.0,15.0,3.58,1.0,999.3533723921713,1543358800.390445
8.000000000000007e-07,0.0,0.0,16.0,3.35,1.0,999.2509303693123,1543358800.390445
8.000000000000007e-07,0.0,0.0,17.0,3.23,1.0,999.1725912579288,1543358800.390445
8.000000000000007e-07,0.0,0.0,18.0,3.18,1.0,999.0759365262466,1543358800.390445
8.000000000000007e-07,0.0,0.0,19.0,3.1,1.0,999.0108730906152,1543358800.390445
